    Time (min)     P1 (mbar)     P2 (mbar)     Temp. (C)
      64.6141        340.91        352.73         24.94
      64.6979        341.91        341.70         24.87
      64.7807        345.92        341.70         24.91
      64.8646        339.91        353.73         24.90
      64.9471        344.92        347.72         24.90
      65.0310        339.91        342.71         24.94
      65.1148        344.92        341.70         24.98
      65.1974        341.91        345.71         24.99
      65.2812        345.92        342.71         24.96
      65.3638        341.91        347.72         25.01
      65.4476        335.89        347.72         25.07
      65.5315        344.92        342.71         25.01
      65.6138        345.92        348.72         24.96
      65.6979        341.91        347.72         24.91
